gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
SAMHD1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-25.1824,8.209e-32,2.3196,0.002,31.4104
PGAP3,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.3482,3.201e-26,4.651,0.0001227,31.4011
APOBR,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.2394,1.09e-21,3.2605,0.0167,31.373
DRAM1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.886,2.077e-32,2.3196,0.002,31.2984
IGF1R,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.7553,4.225e-22,1.926,0.0255,31.2262
IL21R,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.5194,2.677e-30,2.9229,0.0045,31.2177
PHF12,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.5269,2.525e-22,2.2157,0.0025,31.1168
GLUL,Stim48hr,type 1 diabetes mellitus,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.9194,1.301e-52,3.4347,0.0277,31.1023
MAP3K1,Rest,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.6602,3.812e-43,2.5307,0.0442,31.0869
CADM1,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.7791,1.031e-81,2.3196,0.002,31.0607
CSF2RB,Stim8hr,psoriasis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.6829,1.32e-23,3.1208,0.0167,30.9845
TNFRSF1A,Stim8hr,multiple sclerosis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.2767,3.293e-24,2.8606,0.0438,30.9507
PDE4D,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.9959,1.643e-45,2.5487,0.0003376,30.9097
TRAT1,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.8865,2.265e-61,2.0975,0.0068,30.8967
GRAP2,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.1158,4.854e-28,2.2219,0.005,30.8323
IL2RB,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.72,6.524e-118,2.3613,0.0265,30.7411
GZMB,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.1358,1.776e-28,2.2157,0.0025,30.6692
UBE2E3,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-22.4407,6.644e-39,3.0478,0.0018,30.6541
M6PR,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-24.0265,3.044e-24,2.2506,0.0288,30.632
RNASET2,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.3384,5.953e-31,4.651,0.0001227,30.501
PTPN22,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-24.0391,1.002e-47,4.651,0.0001227,30.4146
MAST4,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.6736,9.825e-75,1.9783,0.0184,30.4119
TMEM71,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.9385,1.399e-23,1.9239,0.0239,30.3997
SELL,Stim48hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.6056,1.184e-60,3.3994,0.0115,30.3599
IKZF1,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.8826,1.839e-39,4.651,0.0001227,30.3546
SELL,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.3092,1.184e-60,2.9229,0.0045,30.3429
GRAP2,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.74,4.854e-28,2.018,0.0124,30.2709
SPEF2,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.8681,2.192e-22,2.8071,0.0025,29.9671
GADD45G,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.4459,4.248e-51,2.2157,0.0025,29.926
SELL,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.3832,1.184e-60,2.2219,0.005,29.8407
CYLD,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.2787,1.039e-56,3.3018,0.0005511,29.7717
IL21R,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.0975,2.677e-30,3.2947,0.0095,29.7231
