gsm,sample_name,patient,condition,replicate,cell_type,cell_label_method,n_cells,total_cells_sample,NAB2_mean,NAB2_pct_expr,STAT6_mean,STAT6_pct_expr,IL13_mean,IL13_pct_expr,CCL17_mean,CCL17_pct_expr,GATA3_mean,GATA3_pct_expr,type2_full_genes,type2_full_mean,type2_detected_genes,type2_detected_mean,type2_sensitivity_genes,type2_sensitivity_mean
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,Schwann,obs:Cell type,27,7504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,Sweat gland,obs:Cell type,257,7504,0.10834161937236786,4.280155642023346,0.1832374781370163,8.560311284046692,0.0,0.0,0.0,0.0,0.17709575593471527,7.003891050583658,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.006722679361701012,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.010084019042551517
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,T/NK,obs:Cell type,109,7504,0.13047559559345245,4.587155963302752,0.016294490545988083,0.9174311926605505,0.07733559608459473,1.834862385321101,0.0,0.0,0.18335360288619995,6.422018348623854,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.027274437248706818,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.028022391721606255
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,VEC,obs:Cell type,913,7504,0.04023667424917221,1.7524644030668126,0.11565756052732468,5.147864184008762,0.0,0.0,0.006559369154274464,0.32858707557502737,0.013979779556393623,0.6571741511500547,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.012547459453344345,IL4R,0.04335830733180046,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.018821189180016518
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,fibroblast,obs:Cell type,370,7504,0.15257924795150757,5.9459459459459465,0.12366186827421188,4.594594594594595,0.0,0.0,0.007219766266644001,0.2702702702702703,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.009739473462104797,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.014609210193157196
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,keratinocyte,obs:Cell type,5094,7504,0.13222283124923706,6.929721240675304,0.18956473469734192,9.815469179426776,0.0,0.0,0.0023280668538063765,0.09815469179426776,0.7377670407295227,34.33451118963487,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.006256819702684879,"CCL26,TSLP,IL4R",0.017736459150910378,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.009385229088366032
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,melanocyte,obs:Cell type,3,7504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190733,BCH01-NL2,BCH01,AD non-lesional,NL2,myeloid,obs:Cell type,67,7504,0.12969182431697845,5.970149253731343,0.15171681344509125,5.970149253731343,0.0,0.0,1.3926496505737305,34.32835820895522,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.22992345690727234,CCL17,1.3926496505737305,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.3448852002620697
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,B cells,obs:Cell type,13,7435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,LEC,obs:Cell type,194,7435,0.0,0.0,0.006046346388757229,0.5154639175257731,0.0,0.0,0.024401431903243065,1.0309278350515463,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0038590223994106054,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.005788533482700586
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,Pericyte/SMC,obs:Cell type,293,7435,0.04469368979334831,2.3890784982935154,0.10774154216051102,5.802047781569966,0.0,0.0,0.026912158355116844,1.023890784982935,0.011460068635642529,0.6825938566552902,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.1049346774816513,CCL26,0.8188393115997314,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.15740202367305756
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,Schwann,obs:Cell type,18,7435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,Sweat gland,obs:Cell type,55,7435,0.16736765205860138,10.909090909090908,0.11493334174156189,5.454545454545454,0.0,0.0,0.0,0.0,0.2733178734779358,16.363636363636363,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.005815943703055382,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.008723915554583073
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,T/NK,obs:Cell type,657,7435,0.056127239018678665,3.0441400304414,0.04727810248732567,2.5875190258751903,0.2264014631509781,8.21917808219178,0.033998310565948486,1.67427701674277,0.3065206706523895,13.698630136986301,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.04783429205417633,"IL13,IL4R",0.16661810874938965,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.02830015867948532
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,VEC,obs:Cell type,298,7435,0.06661354750394821,5.033557046979865,0.276231050491333,17.449664429530202,0.0,0.0,0.02680354192852974,1.006711409395973,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.039370376616716385,"CCL26,IL4R",0.14907601475715637,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.05905556678771973
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,fibroblast,obs:Cell type,1905,7435,0.09134592860937119,4.671916010498688,0.14521345496177673,7.5065616797900265,0.0,0.0,0.03127521276473999,1.3648293963254594,0.006899962201714516,0.3674540682414698,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.024823574349284172,"CCL17,CCL26,IL4R",0.06842333823442459,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.03707519546151161
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,keratinocyte,obs:Cell type,2982,7435,0.11089994013309479,10.362173038229376,0.17201165854930878,14.82226693494299,0.0012829150073230267,0.1006036217303823,0.02493436262011528,2.0120724346076457,0.554071307182312,40.3420523138833,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.017284609377384186,"CCL17,TSLP,IL4R",0.04817482829093933,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.025675520300865173
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,melanocyte,obs:Cell type,10,7435,0.0,0.0,0.18718868494033813,10.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
